drugbank_id	mcule_id
DB00651	MCULE-6180147561
DB00653	MCULE-1504889908
DB00653	MCULE-3504782871
DB00656	MCULE-3098459714
DB00656	MCULE-8110542411
DB00658	MCULE-2316124162
DB00658	MCULE-2424616806
DB00658	MCULE-6957304600
DB00658	MCULE-8144448889
DB00658	MCULE-8710235870
DB00658	MCULE-9759519789
DB00660	MCULE-3101469866
DB00661	MCULE-3016077278
DB00662	MCULE-6632962832
DB00662	MCULE-6926505112
DB00663	MCULE-5388708004
DB00664	MCULE-9934333099
DB00665	MCULE-3215206804
DB00667	MCULE-4970362785
DB00667	MCULE-5726619687
DB00668	MCULE-2707689623
DB00668	MCULE-4868062157
DB00668	MCULE-9233286495
DB00668	MCULE-9462717294
DB00669	MCULE-3991948648
DB00672	MCULE-3261763364
DB00674	MCULE-5400019199
DB00674	MCULE-7226205054
DB00674	MCULE-7403371703
DB00674	MCULE-8969045978
DB00675	MCULE-5876498503
DB00675	MCULE-8346437605
DB00676	MCULE-4369643785
DB00679	MCULE-1090059754
DB00679	MCULE-7796139302
DB00680	MCULE-2107794795
DB00680	MCULE-2907779244
DB00682	MCULE-1618253893
DB00682	MCULE-2794487450
DB00684	MCULE-4100706539
DB00684	MCULE-7660658069
DB00688	MCULE-4341497570
DB00692	MCULE-3004652227
DB00692	MCULE-3770473461
DB00692	MCULE-4568922009
DB00692	MCULE-6481391425
DB00694	MCULE-6546034726
DB00695	MCULE-8037874224
DB00697	MCULE-2342327042
DB00697	MCULE-7965365460
DB00698	MCULE-3169724629
DB00701	MCULE-8147835017
DB00704	MCULE-4222870229
DB00704	MCULE-7032963403
DB00704	MCULE-8888771893
DB00706	MCULE-2699536414
DB00706	MCULE-7903569966
DB00709	MCULE-2096184994
DB00709	MCULE-9770521872
DB00711	MCULE-7296820622
DB00711	MCULE-8882849329
DB00712	MCULE-3439710050
DB00712	MCULE-4306860727
DB00712	MCULE-8891184661
DB00713	MCULE-7811795356
DB00714	MCULE-1576765478
DB00714	MCULE-3200317958
DB00714	MCULE-3573223658
DB00715	MCULE-3027579794
DB00715	MCULE-3717318507
DB00717	MCULE-9156628994
DB00717	MCULE-9405848361
DB00718	MCULE-6257358029
DB00721	MCULE-3361980012
DB00721	MCULE-8861116126
DB00722	MCULE-4169282145
DB00722	MCULE-5786317132
DB00722	MCULE-5869146518
DB00722	MCULE-6362024113
DB00722	MCULE-6420885026
DB00722	MCULE-6578012434
DB00722	MCULE-7038916856
DB00722	MCULE-7813362088
DB00724	MCULE-9421195760
DB00725	MCULE-6124492894
DB00729	MCULE-7245694496
DB00730	MCULE-3720823189
DB00731	MCULE-4748076858
DB00731	MCULE-7493904901
DB00733	MCULE-2476744627
