drugbank_id	bindingdb_id
DB01346	50017681
DB01346	50017704
DB01346	50021437
DB01346	50121975
DB01346	50198085
DB01346	50367247
DB01346	50410855
DB01346	50411276
DB01348	50017124
DB01349	50040439
DB01359	82364
DB01361	50370258
DB01364	36014
DB01364	86284
DB01365	81455
DB01367	10989
DB01367	11000
DB01375	18133
DB01380	50455157
DB01388	50117922
DB01388	78934
DB01390	26986
DB01390	26987
DB01392	50013515
DB01392	50026636
DB01392	50027058
DB01392	50167576
DB01392	50203564
DB01392	50407152
DB01392	86230
DB01393	28701
DB01394	50014846
DB01396	46356
DB01397	26193
DB01397	85513
DB01398	26193
DB01398	85513
DB01399	85244
DB01400	50022775
DB01401	26193
DB01401	50026220
DB01401	85513
DB01403	50339137
DB01403	50418049
DB01406	50423541
DB01406	73822
DB01407	27958
DB01409	50296345
DB01411	85674
DB01412	50014260
DB01413	50350470
DB01415	50370586
DB01416	50292251
DB01420	50215709
DB01422	64987
DB01424	74258
DB01425	50023804
DB01427	34651
DB01428	50253134
DB01433	50027391
DB01434	50039160
DB01438	50420356
DB01440	50023575
DB01445	50024206
DB01446	50014210
DB01454	50010588
DB01454	85332
DB01454	86234
DB01460	50094676
DB01462	50013847
DB01465	50005251
DB01465	50098528
DB01467	50359498
DB01467	81965
DB01471	50423546
DB01472	50024209
DB01477	26980
DB01477	82928
DB01481	50025425
DB01482	26979
DB01484	50005257
DB01484	50064708
DB01484	50274042
DB01486	50022722
DB01486	50367603
DB01486	50405613
DB01486	50405615
DB01488	50026868
DB01490	85705
DB01494	50357226
DB01497	50369821
DB01497	50369822
DB01497	82425
DB01509	50005247
DB01509	86238
DB01509	86239
DB01511	50026858
DB01515	50008039
DB01515	50042482
DB01516	50005256
DB01520	50004107
DB01522	50027391
DB01524	50178323
DB01524	50223237
DB01525	50005565
DB01526	50410526
DB01528	50005265
DB01528	50359506
DB01528	50367392
DB01529	85033
DB01530	50093445
DB01530	50375558
DB01530	50410527
DB01535	50012477
DB01536	50025428
DB01536	8592
DB01536	91713
DB01537	50005267
DB01541	91719
DB01544	25878
DB01548	21865
DB01548	50001714
DB01548	50076002
DB01555	50027391
DB01556	85704
DB01560	86286
DB01561	50025405
DB01561	50422491
DB01564	50423546
DB01565	50021325
DB01565	50452273
DB01565	86518
DB01570	50033530
DB01570	50033531
DB01570	50033532
DB01570	50033533
DB01570	50033534
DB01570	50033535
DB01570	50033536
DB01570	50033537
DB01570	50454092
DB01571	50021347
DB01571	50034620
DB01571	50034623
DB01576	50005246
DB01576	50022721
DB01576	50022723
DB01577	50009057
DB01577	50359499
DB01577	50359500
DB01580	50240370
DB01583	18860
DB01583	50007
DB01583	50178971
DB01583	50225220
DB01583	50301375
DB01586	21674
DB01586	50420187
DB01586	53721
DB01591	26121
DB01591	50175570
DB01591	50344284
DB01591	50370682
DB01591	50370683
DB01595	50020856
DB01597	50367502
DB01598	50049708
DB01599	50007260
DB01601	578
DB01603	50130829
DB01606	50053173
DB01606	50157692
DB01606	50421413
DB01607	50270008
DB01608	50346422
DB01614	50131719
DB01616	37636
DB01618	50130290
DB01619	50089147
