drugbank_id	zinc_id
DB00367	ZINC13783395
DB00367	ZINC22065395
DB00367	ZINC22065398
DB00367	ZINC22065401
DB00367	ZINC35645885
DB00367	ZINC35645888
DB00367	ZINC61389310
DB00368	ZINC00057623
DB00368	ZINC00057624
DB00369	ZINC21986258
DB00369	ZINC28762983
DB00370	ZINC00000509
DB00370	ZINC19702119
DB00370	ZINC21981250
DB00371	ZINC01530701
DB00372	ZINC22446674
DB00373	ZINC00002176
DB00373	ZINC00403609
DB00374	ZINC03800475
DB00374	ZINC05513434
DB00374	ZINC14768461
DB00374	ZINC42750008
DB00374	ZINC42750010
DB00374	ZINC44606629
DB00374	ZINC44606632
DB00374	ZINC44606635
DB00375	ZINC01487602
DB00375	ZINC02016052
DB00375	ZINC19363537
DB00376	ZINC00968273
DB00376	ZINC00968274
DB00377	ZINC03795819
DB00377	ZINC06094354
DB00377	ZINC11681775
DB00377	ZINC11681777
DB00378	ZINC03830743
DB00378	ZINC03830745
DB00378	ZINC03875998
DB00378	ZINC04062252
DB00378	ZINC05167143
DB00378	ZINC05383391
DB00378	ZINC05883794
DB00378	ZINC43741501
DB00378	ZINC43741503
DB00378	ZINC66322895
DB00378	ZINC66322898
DB00379	ZINC00020257
DB00379	ZINC00057062
DB00380	ZINC19367674
DB00380	ZINC21985213
DB00381	ZINC19796039
DB00381	ZINC19796041
DB00382	ZINC00016827
DB00383	ZINC00020260
DB00383	ZINC00057439
DB00384	ZINC00120286
DB00387	ZINC00004760
DB00387	ZINC00057455
DB00388	ZINC00113355
DB00388	ZINC00113359
DB00389	ZINC00001091
DB00391	ZINC00020229
DB00391	ZINC00057008
DB00392	ZINC00004227
DB00392	ZINC00056651
DB00393	ZINC19632713
DB00393	ZINC19632718
DB00394	ZINC03871663
DB00394	ZINC03871664
DB00394	ZINC03871665
DB00394	ZINC03871666
DB00394	ZINC03938744
DB00394	ZINC08789850
DB00394	ZINC11592769
DB00394	ZINC11592770
DB00394	ZINC11592771
DB00394	ZINC11592772
DB00394	ZINC26255044
DB00394	ZINC26255050
DB00394	ZINC31430214
DB00394	ZINC39941971
DB00394	ZINC39941972
DB00394	ZINC43743745
DB00394	ZINC43743746
DB00395	ZINC01530950
DB00395	ZINC01530951
DB00396	ZINC03132721
DB00396	ZINC03874742
DB00396	ZINC03874743
DB00396	ZINC03874744
DB00396	ZINC03874745
DB00396	ZINC03977916
DB00396	ZINC03977917
DB00396	ZINC03977918
DB00396	ZINC04081602
DB00396	ZINC04081603
DB00396	ZINC04340344
DB00396	ZINC04428529
DB00396	ZINC05186648
DB00396	ZINC05186658
DB00396	ZINC05229062
DB00396	ZINC06491303
DB00396	ZINC13521486
DB00396	ZINC13542965
DB00396	ZINC13542966
DB00396	ZINC13542967
DB00396	ZINC13542968
DB00396	ZINC36384632
DB00396	ZINC36384633
DB00396	ZINC43574034
DB00396	ZINC71404572
DB00397	ZINC00001100
DB00397	ZINC00001930
DB00397	ZINC00157545
DB00397	ZINC00157548
DB00398	ZINC01493878
DB00399	ZINC19632644
DB00400	ZINC00537809
DB00400	ZINC00622120
DB00400	ZINC00622123
DB00400	ZINC00622126
DB00401	ZINC00591993
DB00401	ZINC19632706
DB00402	ZINC00538644
DB00402	ZINC00601241
DB00402	ZINC19632834
DB00402	ZINC19632839
DB00404	ZINC00000903
DB00405	ZINC00000096
DB00405	ZINC00896455
DB00406	ZINC13763987
DB00408	ZINC00001639
DB00408	ZINC19796158
DB00409	ZINC00597536
DB00409	ZINC02021799
DB00410	ZINC04102194
DB00410	ZINC19685775
DB00410	ZINC19685777
DB00410	ZINC33838877
DB00410	ZINC33838878
DB00410	ZINC33838879
DB00410	ZINC33838880
DB00410	ZINC37263692
DB00410	ZINC37263693
DB00410	ZINC37263694
DB00410	ZINC37263695
DB00410	ZINC43769723
DB00410	ZINC43769725
DB00411	ZINC03079342
DB00412	ZINC00968328
DB00412	ZINC00968330
DB00413	ZINC03781664
DB00413	ZINC03831352
DB00414	ZINC18067894
DB00415	ZINC01607283
DB00415	ZINC02015194
DB00415	ZINC03616640
DB00415	ZINC03649954
DB00415	ZINC03830217
DB00415	ZINC03830218
DB00415	ZINC03830219
DB00415	ZINC04062610
DB00415	ZINC04523361
DB00415	ZINC05497159
DB00415	ZINC11592621
DB00415	ZINC13704471
DB00415	ZINC34781666
DB00415	ZINC34800263
DB00415	ZINC34800265
DB00415	ZINC34800266
DB00415	ZINC34800285
DB00415	ZINC34800286
DB00415	ZINC35361923
DB00415	ZINC36532653
DB00417	ZINC01530774
DB00417	ZINC01726065
DB00417	ZINC03831281
DB00417	ZINC03831282
DB00417	ZINC03831283
DB00417	ZINC05260860
DB00418	ZINC02005550
DB00418	ZINC03874950
DB00419	ZINC02562349
DB00419	ZINC03794711
DB00419	ZINC03957104
DB00419	ZINC08627075
DB00419	ZINC11681339
DB00419	ZINC11681341
DB00419	ZINC22053713
DB00419	ZINC36533584
DB00420	ZINC00010402
DB00421	ZINC01066738
DB00421	ZINC02513210
DB00421	ZINC03814430
DB00421	ZINC03833825
DB00421	ZINC03861599
DB00421	ZINC03874990
DB00421	ZINC03874991
DB00421	ZINC03874992
DB00421	ZINC03875347
DB00421	ZINC03881697
DB00421	ZINC03881698
DB00421	ZINC03881699
DB00421	ZINC03977913
DB00421	ZINC04475348
DB00421	ZINC05228577
DB00421	ZINC05228582
DB00421	ZINC05383350
DB00421	ZINC11592719
DB00421	ZINC11592720
DB00421	ZINC11592721
DB00421	ZINC36386958
